sim.id,variable,measurement,method,value
26,mu,sd,lrvb,0.0570662432738878
26,tau,sd,lrvb,0.137519506108684
26,log_tau,sd,lrvb,0.105720753235048
26,mu,mean,mcmc,1.56138189997459
26,mu,sd,mcmc,0.0599022837658621
26,mu,effsize,mcmc,1365.24601323997
26,tau,mean,mcmc,1.24832460577206
26,tau,sd,mcmc,0.12857423437856
26,tau,effsize,mcmc,1188.1562187644
26,log_tau,mean,mcmc,0.216501120945546
26,log_tau,sd,mcmc,0.10311451539473
27,mu,mean,truth,1.79467155081869
27,tau,mean,truth,1.91904064005928
27,log_tau,mean,truth,0.651825394528927
27,mu,mean,mfvb,1.80639684695367
27,tau,mean,mfvb,1.94441378452473
27,log_tau,mean,mfvb,0.662975096274867
27,mu,sd,mfvb,0.0331954826562215
27,tau,sd,mfvb,0.122486555229962
27,log_tau,sd,mfvb,0.0630566245743312
27,mu,sd,lrvb,0.0481719009741647
27,tau,sd,lrvb,0.228156420448964
27,log_tau,sd,lrvb,0.117373027618914
27,mu,mean,mcmc,1.80582439301584
27,mu,sd,mcmc,0.0500081620892858
27,mu,effsize,mcmc,1574.08193929827
27,tau,mean,mcmc,1.89253112624956
27,tau,sd,mcmc,0.21506750370036
27,tau,effsize,mcmc,956.680401076571
27,log_tau,mean,mcmc,0.631480917223562
27,log_tau,sd,mcmc,0.113553497074929
28,mu,mean,truth,1.29896105377955
28,tau,mean,truth,1.23875202904757
28,log_tau,mean,truth,0.214104444640593
28,mu,mean,mfvb,1.3920237454635
28,tau,mean,mfvb,1.39911952739711
28,log_tau,mean,mfvb,0.333857690537565
28,mu,sd,mfvb,0.0391324103115764
28,tau,sd,mfvb,0.0881362458082611
28,log_tau,sd,mfvb,0.0630566245743312
28,mu,sd,lrvb,0.055964588841784
28,tau,sd,lrvb,0.156267664036173
28,log_tau,sd,lrvb,0.11172529112277
28,mu,mean,mcmc,1.39298416383223
28,mu,sd,mcmc,0.0569835805492748
28,mu,effsize,mcmc,1406.28472754912
28,tau,mean,mcmc,1.34358728631423
28,tau,sd,mcmc,0.154245020414282
28,tau,effsize,mcmc,939.108784998722
28,log_tau,mean,mcmc,0.288772216206921
28,log_tau,sd,mcmc,0.11479614106869
29,mu,mean,truth,2.27721574152998
29,tau,mean,truth,5.64764712530048
29,log_tau,mean,truth,1.73123902042405
29,mu,mean,mfvb,2.25482438813275
29,tau,mean,mfvb,7.00483855177737
29,log_tau,mean,mfvb,1.94461569271876
29,mu,sd,mfvb,0.0174901304289171
29,tau,sd,mfvb,0.441263351956234
29,log_tau,sd,mfvb,0.0630566245743312
29,mu,sd,lrvb,0.0275441926534878
29,tau,sd,lrvb,1.10410478830964
29,log_tau,sd,lrvb,0.15764531217694
29,mu,mean,mcmc,2.25563888273482
29,mu,sd,mcmc,0.0275346243845449
29,mu,effsize,mcmc,1104.77231373591
29,tau,mean,mcmc,7.44028271818223
29,tau,sd,mcmc,1.23794019980078
29,tau,effsize,mcmc,472.170227859263
29,log_tau,mean,mcmc,1.99351261335313
29,log_tau,sd,mcmc,0.16297484714316
30,mu,mean,truth,2.73938808892747
30,tau,mean,truth,5.47164934865698
30,log_tau,mean,truth,1.69958009724668
30,mu,mean,mfvb,2.74499695244498
30,tau,mean,mfvb,4.93697511934394
30,log_tau,mean,mfvb,1.59476738039811
30,mu,sd,mfvb,0.020833266464196
30,tau,sd,mfvb,0.311000199873743
30,log_tau,sd,mfvb,0.0630566245743312
30,mu,sd,lrvb,0.0308861615088617
30,tau,sd,lrvb,0.687138965798603
30,log_tau,sd,lrvb,0.139210500706533
30,mu,mean,mcmc,2.74401659791013
30,mu,sd,mcmc,0.0305111578550924
30,mu,effsize,mcmc,1288.37457545496
30,tau,mean,mcmc,5.09521999902546
30,tau,sd,mcmc,0.731247593528022
30,tau,effsize,mcmc,634.365748859459
30,log_tau,mean,mcmc,1.61809822253065
30,log_tau,sd,mcmc,0.142955828666422
31,mu,mean,truth,1.08984506410289
31,tau,mean,truth,3.30409180384977
31,log_tau,mean,truth,1.19516164094153
31,mu,mean,mfvb,1.1067213949221
31,tau,mean,mfvb,3.05245278168962
31,log_tau,mean,mfvb,1.11396001891377
31,mu,sd,mfvb,0.0264946106698713
31,tau,sd,mfvb,0.192286451169479
31,log_tau,sd,mfvb,0.0630566245743312
31,mu,sd,lrvb,0.0435777575116043
31,tau,sd,lrvb,0.458538449760368
31,log_tau,sd,lrvb,0.150245909127265
31,mu,mean,mcmc,1.10506798215667
31,mu,sd,mcmc,0.0435072185440185
31,mu,effsize,mcmc,1189.73821589121
31,tau,mean,mcmc,3.01535293885226
31,tau,sd,mcmc,0.471110653820801
31,tau,effsize,mcmc,493.038269755487
31,log_tau,mean,mcmc,1.09190114497954
31,log_tau,sd,mcmc,0.153123128447546
32,mu,mean,truth,2.47076490131968
32,tau,mean,truth,7.10215370585617
32,log_tau,mean,truth,1.96039807690232
32,mu,mean,mfvb,2.46634097626762
32,tau,mean,mfvb,7.0871908544959
32,log_tau,mean,mfvb,1.95630361045393
32,mu,sd,mfvb,0.0173881602186659
32,tau,sd,mfvb,0.446451059405885
32,log_tau,sd,mfvb,0.0630566245743312
32,mu,sd,lrvb,0.0267109490128693
32,tau,sd,lrvb,1.00663099480831
32,log_tau,sd,lrvb,0.142063010606085
32,mu,mean,mcmc,2.46605784725917
32,mu,sd,mcmc,0.0272387717276621
32,mu,effsize,mcmc,1266.64958614145
32,tau,mean,mcmc,7.49236754575113
32,tau,sd,mcmc,1.16274714516633
32,tau,effsize,mcmc,581.775700330564
32,log_tau,mean,mcmc,2.00203337661793
32,log_tau,sd,mcmc,0.153841812168517
33,mu,mean,truth,0.265151227274641
33,tau,mean,truth,1.0797652433599
33,log_tau,mean,truth,0.076743650249088
